troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.3750041851510091
1tbedt"bolster"tbedt1.0t-0.011359198384978352
2tbedt"mattress cover"tbedt1.0t0.30244055011872484
432t"mortise lock"theadertdoort0.0t0.08718744085960417
433t"mortise lock"tringt"mortise lock"t1.0t0.14488160950738552
434t"mortise lock"tkeywayt"mortise lock"t1.0t0.3067928236564412
435t"mortise lock"t"cotter pin"t"mortise lock"t1.0t0.2844901648117987
436t"mortise lock"tspringt"mortise lock"t1.0t0.03617052138005792
437t"mortise lock"t"rotor"t"mortise lock"t1.0t0.15276816998871998
438t"mortise lock"tcylinder caset"mortise lock"t1.0t0.15481092257178816
439t"mortise lock"tkeyt"mortise lock"t1.0t0.09856404878607851
440t"mortise lock"t"faceplate"t"mortise lock"t1.0t0.22059562000317987
441t"mortise lock"t"dead bolt"t"mortise lock"t1.0t0.13752315654242034
442t"mortise lock"tcylindert"mortise lock"t1.0t0.17638986521243546
443t"mortise lock"t"stator"t"mortise lock"t1.0t0.20714277746215573
444t"mortise lock"t"strike plate"t"mortise lock"t1.0t0.1378563871002387
445t"mortise lock"t"valve seat shaft"t"toilet"t0.0t0.21327977218585445
446t"mortise lock"t"tank lid"t"toilet"t0.0t0.08484902639357358
447t"mortise lock"tconical washert"toilet"t0.0t0.2501227713487141
448t"mortise lock"t"lift chain"t"toilet"t0.0t0.16740127557284654
449t"mortise lock"t"seat"t"toilet"t0.0t0.09547189240181689
450t"mortise lock"t"shutoff valve"t"toilet"t0.0t0.1742633032179803
451t"mortise lock"t"trip lever"t"toilet"t0.0t0.1300689640261645
452t"mortise lock"tball-cock supply valvet"toilet"t0.0t0.1498599607347906
453t"mortise lock"t"toilet bowl"t"toilet"t0.0t0.1573409798484581
454t"mortise lock"tflush handlet"toilet"t0.0t0.15345474160071673
455t"mortise lock"twax sealt"toilet"t0.0t0.16715958821676583
456t"mortise lock"t"tank ball"t"toilet"t0.0t0.04958603925329759
457t"mortise lock"t"float ball"t"toilet"t0.0t0.06622250675680161
458t"mortise lock"t"filler tube"t"toilet"t0.0t0.1885545980363721
459t"mortise lock"t"waste pipe"t"toilet"t0.0t0.09289142024252053
460t"mortise lock"t"seat cover"t"toilet"t0.0t0.11822737387623125
461t"mortise lock"t"cold-water supply line"t"toilet"t0.0t0.09601392823666907
462t"mortise lock"t"overflow tube"t"toilet"t0.0t0.13592796372679497
463t"mortise lock"t"trap"t"toilet"t0.0t0.1256569038360852
464t"mortise lock"t"refill tube"t"toilet"t0.0t0.16071329161794806
465t"toilet"tpillowtbedt0.0t0.20433671488010585
466t"toilet"t"bolster"tbedt0.0t-0.0009597036107440686
467t"toilet"t"mattress cover"tbedt0.0t0.14778523041443553
468t"toilet"tlegtbedt0.0t0.0684275722375703
469t"toilet"tbox springtbedt0.0t0.10468983706145125
470t"toilet"theadboardtbedt0.0t0.13785638668825811
471t"toilet"t"mattress"tbedt0.0t0.17509792771539381
472t"toilet"t"pillow protector"tbedt0.0t0.1316221193095749
473t"toilet"t"elastic"tbedt0.0t0.03736106786302562
474t"toilet"t"footboard"tbedt0.0t0.14638501184156022
475t"toilet"t"switch"t"refrigerator"t0.0t0.013056432843843724
476t"toilet"t"refrigerator compartment"t"refrigerator"t0.0t0.249321950027368
477t"toilet"t"egg tray"t"refrigerator"t0.0t0.19329203736117645
478t"toilet"tshelf channelt"refrigerator"t0.0t0.07856792107495202
479t"toilet"t"magnetic gasket"t"refrigerator"t0.0t0.131425320771802
480t"toilet"t"storage door"t"refrigerator"t0.0t0.20047546295991323
481t"toilet"tfreezer doort"refrigerator"t0.0t0.24097488105124906
482t"toilet"tguard railt"refrigerator"t0.0t0.07221062746318753
483t"toilet"tcrispert"refrigerator"t0.0t0.0014285076559082184
484t"toilet"tglass covert"refrigerator"t0.0t0.16890813539843585
485t"toilet"t"butter compartment"t"refrigerator"t0.0t0.18785714304434106
486t"toilet"t"thermostat control"t"refrigerator"t0.0t0.1225209540758845
487t"toilet"t"freezer compartment"t"refrigerator"t0.0t0.23993393470918623
488t"toilet"t"ice cube tray"t"refrigerator"t0.0t0.2121344012126894
489t"toilet"t"meat keeper"t"refrigerator"t0.0t0.10576128955163243
490t"toilet"t"door stop"t"refrigerator"t0.0t0.12672865163100702
491t"toilet"tshelft"refrigerator"t0.0t0.09053479779003554
492t"toilet"t"dairy compartment"t"refrigerator"t0.0t0.20435675406486595
493t"toilet"tdoor shelft"refrigerator"t0.0t0.18031652532673842
494t"toilet"tdrain hosetdishwashert0.0t0.29742880129624333
495t"toilet"t"overflow protection switch"tdishwashert0.0t0.1076941986416125
496t"toilet"t"tub"tdishwashert0.0t0.34768829077995234
497t"toilet"tpumptdishwashert0.0t0.1962149633731096
498t"toilet"t"gasket"tdishwashert0.0t0.19254762386433744
499t"toilet"t"water hose"tdishwashert0.0t0.2643438277900861
500t"toilet"t"heating element"tdishwashert0.0t0.09280157292227996
501t"toilet"tracktdishwashert0.0t0.10718709352429148
502t"toilet"t"cutlery basket"tdishwashert0.0t0.18517443811670795
503t"toilet"t"wash tower"tdishwashert0.0t0.1956740110193351
504t"toilet"t"motor"tdishwashert0.0t0.10280102690157
505t"toilet"t"detergent dispenser"tdishwashert0.0t0.20070748764920734
506t"toilet"tslidetdishwashert0.0t0.052069500555021214
507t"toilet"t"leveling foot"tdishwashert0.0t-0.014398767884950044
508t"toilet"t"insulating material"tdishwashert0.0t0.060945663337465907
509t"toilet"tspray armtdishwashert0.0t0.07435267864552045
510t"toilet"trinse-aid dispensertdishwashert0.0t0.2833195688302042
511t"toilet"tlocktdoort0.0t0.11476141633911453
512t"toilet"tcornicetdoort0.0t0.108467616376526
513t"toilet"t"hanging stile"tdoort0.0t0.11500050334684427
514t"toilet"t"entablature"tdoort0.0t0.08005713608695289
515t"toilet"t"top rail"tdoort0.0t0.07401455292174457
516t"toilet"tmiddle paneltdoort0.0t0.03495769827788636
517t"toilet"t"bottom rail"tdoort0.0t0.06857920849472157
518t"toilet"tpaneltdoort0.0t0.04622097263666278
519t"toilet"tjambtdoort0.0t0.12971477086015826
520t"toilet"tdoorknobtdoort0.0t0.258232257757876
521t"toilet"t"threshold"tdoort0.0t0.01276700221285359
522t"toilet"t"weatherboard"tdoort0.0t0.13458019068939336
523t"toilet"tlock railtdoort0.0t0.1309913068806997
524t"toilet"t"shutting stile"tdoort0.0t0.11264996373671773
525t"toilet"theadertdoort0.0t-0.005646628221354636
526t"toilet"tringt"mortise lock"t0.0t0.1421779791885968
527t"toilet"tkeywayt"mortise lock"t0.0t0.11150292415990204
528t"toilet"t"cotter pin"t"mortise lock"t0.0t0.16941360390975674
529t"toilet"tspringt"mortise lock"t0.0t0.0262221184449391
530t"toilet"t"rotor"t"mortise lock"t0.0t0.11850826953513419
531t"toilet"tcylinder caset"mortise lock"t0.0t0.15344783340259177
532t"toilet"tkeyt"mortise lock"t0.0t-0.01301121473842553
533t"toilet"t"faceplate"t"mortise lock"t0.0t0.10170853389936081
534t"toilet"t"dead bolt"t"mortise lock"t0.0t0.07870360038566927
535t"toilet"tcylindert"mortise lock"t0.0t0.15806916165574778
536t"toilet"t"stator"t"mortise lock"t0.0t0.09027305182184844
537t"toilet"t"strike plate"t"mortise lock"t0.0t0.036583596533644444
538t"toilet"t"valve seat shaft"t"toilet"t1.0t0.18424518445740273
539t"toilet"t"tank lid"t"toilet"t1.0t0.211369774398118
540t"toilet"tconical washert"toilet"t1.0t0.22952942432873202
541t"toilet"t"lift chain"t"toilet"t1.0t0.045376932093668935
542t"toilet"t"seat"t"toilet"t1.0t0.17052429529056193
543t"toilet"t"shutoff valve"t"toilet"t1.0t0.21658055438745216
544t"toilet"t"trip lever"t"toilet"t1.0t0.09307827952587659
545t"toilet"tball-cock supply valvet"toilet"t1.0t0.1782713018357766
546t"toilet"t"toilet bowl"t"toilet"t1.0t0.5919098409820273
547t"toilet"tflush handlet"toilet"t1.0t0.12936922458818803
548t"toilet"twax sealt"toilet"t1.0t0.14021497842693212
549t"toilet"t"tank ball"t"toilet"t1.0t0.15833054382104594
550t"toilet"t"float ball"t"toilet"t1.0t0.10279591546924789
551t"toilet"t"filler tube"t"toilet"t1.0t0.23291218450808782
552t"toilet"t"waste pipe"t"toilet"t1.0t0.22054063756228964
553t"toilet"t"seat cover"t"toilet"t1.0t0.16007589790010351
554t"toilet"t"cold-water supply line"t"toilet"t1.0t0.05812500005792112
555t"toilet"t"overflow tube"t"toilet"t1.0t0.23111517852268623
556t"toilet"t"trap"t"toilet"t1.0t0.12857509577972684
557t"toilet"t"refill tube"t"toilet"t1.0t0.25684981208803115
